,driver_id,day_of_week,total_days,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,avg_fare
182,3884100,1,1,2,19,4.0,1,0.052631579000000005,COMPLETED,158.0
183,4597921,2,1,10,19,5.0,1,0.052631579000000005,COMPLETED,65.0
184,4652677,5,2,3,19,4.307563701,1,0.052631579000000005,COMPLETED,146.0
185,5160387,1,2,6,19,4.307563701,1,0.052631579000000005,COMPLETED,256.0
186,5295034,2,2,8,57,4.0,3,0.052631579000000005,COMPLETED,167.66666669999998
187,4627263,4,4,14,94,4.5,5,0.053191489,COMPLETED,125.0
188,5146462,7,3,12,56,4.0,3,0.053571429000000004,COMPLETED,123.0
189,5262720,3,3,8,56,3.0,3,0.053571429000000004,COMPLETED,118.33333329999999
190,5113639,7,2,3,37,4.307563701,2,0.054054054000000004,COMPLETED,87.0
191,5250030,5,7,56,425,4.0,23,0.054117647000000005,COMPLETED,95.91304348
192,3072522,3,3,11,55,5.0,3,0.054545455,COMPLETED,98.66666667
193,5310997,6,4,16,110,4.0,6,0.054545455,COMPLETED,97.33333333
194,5404832,3,4,19,274,4.666666667,15,0.054744525999999995,COMPLETED,110.0
195,4980353,2,5,19,146,4.5,8,0.054794521,COMPLETED,70.5
