driver_id,day_of_week,Hour,Minute,total_assigned_request,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km
5294513,7,19,16,41,4.571428571,24,0.59,COMPLETED,5.784444444,98.634
5294547,2,13,52,26,4.375,17,0.65,COMPLETED,5.321666667,77.804
5294669,1,9,27,2,,0,0,CANCELED,,
5294803,3,10,25,174,3.867647059,123,0.71,COMPLETED,27.385,538.317
5294962,1,9,35,14,4.5,5,0.36,COMPLETED,1.685555556,26.959
5295024,1,7,56,8,5,1,0.13,COMPLETED,0.433055556,7.08
5295034,2,17,21,8,4,3,0.38,COMPLETED,1.392777778,28.042
5295158,3,16,49,38,4.1,29,0.76,COMPLETED,8.862777778,135.722
5295219,2,10,52,25,4.571428571,15,0.6,COMPLETED,5.817222222,113.513
5295327,5,16,59,48,4.266666667,34,0.71,COMPLETED,9.39,149.614
5295742,7,16,1,5,3,4,0.8,COMPLETED,0.875833333,21.791
5295754,1,15,19,68,4.434782609,43,0.63,COMPLETED,0.034444444,28.395
5295810,1,9,30,32,3.9,25,0.78,COMPLETED,0.726111111,45.887
5295836,4,9,24,22,4.5,17,0.77,COMPLETED,3.971666667,70.556
5295948,1,13,13,72,4.1,32,0.44,COMPLETED,9.785555556,173.54
5296340,3,12,23,1,,0,0,CANCELED,,
5296437,2,12,24,23,4.5,15,0.65,COMPLETED,4.313055556,74.644
5296470,1,13,25,4,,0,0,CANCELED,,
5296471,6,14,26,46,4.444444444,30,0.65,COMPLETED,7.3475,122.086
5296473,1,9,8,11,,4,0.36,COMPLETED,0.768055556,16.792
5296506,3,14,29,31,4.45,25,0.81,COMPLETED,7.410277778,110.566
5296585,1,12,16,151,4.276595745,94,0.62,COMPLETED,21.34777778,399.228
5296598,7,19,39,3,,1,0.33,CANCELED,0.000833333,0.001
5296605,1,8,26,55,4.476190476,45,0.82,COMPLETED,14.0525,237.337
5296776,4,18,10,105,4.596153846,92,0.88,COMPLETED,27.08222222,493.505
5296800,3,14,14,1,,0,0,CANCELED,,
5296815,2,21,22,7,5,5,0.71,COMPLETED,1.099722222,25.588
5296824,3,13,17,30,3.666666667,20,0.67,COMPLETED,5.967222222,96.277
5296903,2,9,14,32,3.5,9,0.28,COMPLETED,3.102222222,59.869
5297055,4,17,55,7,3.5,5,0.71,COMPLETED,1.6575,24.126
5297310,4,19,28,82,4.310344828,56,0.68,COMPLETED,14.83138889,286.059
5297335,7,19,52,50,4.428571429,26,0.52,COMPLETED,7.368055556,119.202
5297412,7,20,34,5,4,4,0.8,COMPLETED,1.185277778,26.394
5297427,2,19,23,16,4,14,0.88,COMPLETED,2.794166667,51.629
5297495,3,14,11,55,4.363636364,46,0.84,COMPLETED,14.20361111,209.101
5297733,6,9,17,67,4.515151515,57,0.85,COMPLETED,13.27194444,234.556
5297921,1,9,10,96,4.409090909,43,0.45,COMPLETED,8.83,162.192
5298095,2,5,19,53,4.473684211,32,0.6,COMPLETED,7.158611111,155.263
5301233,2,12,30,1,,0,0,CANCELED,,
5301387,2,5,52,5,5,4,0.8,COMPLETED,0.4825,10.116
5302078,7,12,26,13,4.6,11,0.85,COMPLETED,2.586944444,53.433
5302110,2,20,34,25,4.5,19,0.76,COMPLETED,4.994444444,83.482
5302142,3,20,54,43,3.4,22,0.51,COMPLETED,6.130555556,111.208
5302183,5,18,19,138,4.65625,62,0.45,COMPLETED,14.36055556,241.253
5302294,2,5,16,14,4,8,0.57,COMPLETED,0.019722222,5.484
5302420,4,9,8,61,4.357142857,32,0.52,COMPLETED,9.846388889,178.949
5302455,1,14,29,28,3.833333333,14,0.5,COMPLETED,5.835833333,93.876
5302481,7,16,13,21,4.3,18,0.86,COMPLETED,3.202777778,84.654
5302516,2,14,9,5,3.5,4,0.8,COMPLETED,1.065555556,23.467
5302685,4,15,29,5,,1,0.2,COMPLETED,0.399166667,7.313
5302760,5,17,50,2,,0,0,CANCELED,,
5302762,1,20,21,24,4.625,17,0.71,COMPLETED,3.858611111,72.822
5302790,3,12,47,95,4.555555556,56,0.59,COMPLETED,15.60916667,243.009
