,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare,abandoned_trips,% completed_rides,canceled_rides
122,5195392,4,7,22,8,4835714,45,67,4.538461538,29,0.432835821,1,6.943333332999999,144.79399999999998,121.7586207,22,64.44444444444444,16
123,5180816,7,7,21,48,5442549,50,211,4.222222222,37,0.17535545,1,4.327777778,132.018,91.62162162,161,74.0,13
124,5180169,6,7,19,29,5304200,36,88,4.333333333,26,0.295454545,1,5.365,119.927,108.7692308,52,72.22222222222221,10
125,5179599,4,7,23,24,5383786,58,100,4.75,45,0.45,1,14.98472222,246.68599999999998,124.64444440000001,42,77.58620689655173,13
126,5174524,2,7,13,38,4118280,104,148,4.484848485,76,0.513513514,1,18.17611111,350.06,101.86842109999999,44,73.07692307692307,28
127,5173801,2,7,11,39,4824768,111,225,3.833333333,39,0.173333333,1,8.135277777999999,150.548,93.71794872,114,35.13513513513514,72
128,5170700,1,7,15,16,4389825,38,163,3.8181818180000002,21,0.12883435599999998,1,5.585,97.671,104.80952380000001,125,55.26315789473685,17
129,5169920,7,7,18,31,4666717,69,106,4.321428571,51,0.481132075,1,12.90361111,220.845,99.88235294,37,73.91304347826086,18
130,5169018,3,7,21,50,4087032,48,59,4.583333333,21,0.35593220299999995,1,3.769166667,81.044,96.14285714,11,43.75,27
131,5166152,2,7,10,42,4868477,163,244,4.020408163,107,0.43852459,1,29.53,516.779,106.2616822,81,65.6441717791411,56
132,5165911,2,7,16,37,4267280,35,75,4.666666667,27,0.36,1,8.600555556,132.07,105.8888889,40,77.14285714285715,8
133,5165267,1,7,15,18,3641183,102,142,4.033333333,63,0.443661972,1,19.57361111,307.439,106.5238095,40,61.76470588235294,39
134,5164950,5,7,18,2,4565094,83,121,3.961538462,67,0.553719008,1,15.63111111,267.473,92.98507463,38,80.72289156626506,16
135,5164805,2,7,8,44,3815567,88,101,4.277777778,35,0.34653465299999997,1,9.920555556,171.483,105.62857140000001,13,39.77272727272727,53
136,5164670,7,7,14,36,5030827,79,93,3.789473684,47,0.505376344,1,11.30166667,165.69400000000002,85.08510638,14,59.49367088607595,32
137,5159884,1,7,9,24,4262887,58,145,4.4,26,0.179310345,1,7.063055556,140.18,115.57692309999999,87,44.827586206896555,32
138,5159744,3,7,19,5,3543112,129,308,4.266666667,72,0.233766234,1,19.78805556,315.57099999999997,98.41666667,179,55.81395348837209,57
139,5159663,4,7,18,30,4696263,50,94,4.25,34,0.36170212799999996,1,9.040277778,153.937,99.35294118,44,68.0,16
140,5159306,1,7,6,39,5240532,101,115,4.051282051,69,0.6,1,17.46222222,336.167,105.7391304,14,68.31683168316832,32
141,5157604,2,7,10,59,5245741,109,274,4.295454545,88,0.321167883,1,19.7925,397.523,104.1477273,165,80.73394495412845,21
142,5145138,7,7,7,12,4255488,81,148,4.260869565,53,0.358108108,1,14.2175,230.43099999999998,100.245283,67,65.4320987654321,28
