,driver_id,day_of_week,Hour,Minute,passenger_id,total_assigned_request,avg_rating,completed_rides,total_canceled_ride,ACR,status,ride_duration_hour,total_distance_covered_km,undiscounted_fare
146,3448655,3,14,36,5355421,19,4.8,10,9,0.53,COMPLETED,4.647222222,71.092,183
147,3452591,2,19,20,4946356,37,4.263157895,28,9,0.76,COMPLETED,7.106944444,138.102,150
148,3459818,2,10,51,4412719,70,3.789473684,38,32,0.54,COMPLETED,9.311388889,159.06,47
149,3463493,2,9,37,4503216,14,,0,14,0,CANCELED,,,
150,3466729,6,11,6,3703276,4,5,2,2,0.5,CANCELED,0.356666667,3.324,
151,3474657,7,14,41,5060128,16,,6,10,0.38,COMPLETED,0.119166667,9.925,147
152,3475104,1,13,9,5354086,21,4.75,19,2,0.9,COMPLETED,6.340833333,99.707,61
153,3475591,2,17,21,4443748,12,4.5,7,5,0.58,COMPLETED,1.9025,29.657,63
154,3475644,3,21,2,5158384,5,,2,3,0.4,COMPLETED,0.340833333,6.348,104
155,3475712,6,8,39,5290325,78,4.161290323,48,30,0.62,COMPLETED,11.60333333,223.252,146
156,3475860,3,15,3,5052229,5,4,3,2,0.6,COMPLETED,0.991944444,22.369,125
157,3475872,3,18,5,4043261,5,5,4,1,0.8,COMPLETED,0.478055556,8.474,54
158,3481158,3,13,23,4319383,85,4.074074074,72,13,0.85,COMPLETED,21.63444444,356.723,53
159,3500029,2,16,50,4945721,3,5,2,1,0.67,COMPLETED,0.579722222,8.779,61
160,3500720,3,12,35,4823286,59,3.846153846,42,17,0.71,COMPLETED,11.96055556,202.833,126
161,3501304,4,15,6,4874274,25,4.461538462,21,4,0.84,COMPLETED,5.898333333,103.456,72
162,3520711,5,22,30,4714537,7,,1,6,0.14,COMPLETED,0.1675,5.155,116
163,3521193,5,17,45,5388840,13,2.8,8,5,0.62,COMPLETED,4.208055556,73.698,273
164,3527160,4,17,30,3091801,71,4.333333333,54,17,0.76,COMPLETED,6.39,118.212,103
165,3550359,2,10,21,5158077,70,4.413793103,53,17,0.76,COMPLETED,10.36777778,216.146,65
166,3564741,7,22,53,5255314,2,5,1,1,0.5,COMPLETED,0.0975,2.021,69
167,3585253,2,16,28,5356084,1,,0,1,0,CANCELED,,,
168,3586058,2,10,50,4241860,1,,0,1,0,CANCELED,,,
169,3589235,2,15,22,5360631,20,3.8,15,5,0.75,COMPLETED,4.326388889,85.967,149
170,3593600,4,17,31,4273796,54,3.85,36,18,0.67,COMPLETED,7.951388889,146.835,146
171,3598539,5,15,0,5109957,31,4.538461538,25,6,0.81,COMPLETED,6.586388889,130.268,121
172,3599413,7,17,23,5153489,1,,0,1,0,CANCELED,,,
173,3601475,7,12,36,5388190,1,,0,1,0,CANCELED,,,
174,3601722,1,11,1,3865200,5,,0,5,0,CANCELED,,,
175,3609933,2,19,23,4811835,11,4.4,8,3,0.73,COMPLETED,1.934166667,39.473,106
176,3612212,1,12,10,4776159,1,,0,1,0,CANCELED,,,
177,3612345,6,13,0,3681359,35,4.384615385,19,16,0.54,COMPLETED,7.733888889,125.732,139
178,3613245,7,8,20,5222178,27,4.636363636,18,9,0.67,COMPLETED,5.415833333,111.108,152
179,3620117,5,13,22,4034102,13,5,2,11,0.15,COMPLETED,0.611111111,9.818,106
180,3620819,3,11,10,4914427,32,4.5,23,9,0.72,COMPLETED,7.239722222,100.05,60
181,3623101,4,10,47,5405012,36,4.5,26,10,0.72,COMPLETED,7.8125,129.274,108
182,3626667,3,17,59,3247696,1,,0,1,0,CANCELED,,,
183,3626950,4,10,33,5207970,104,4.611111111,35,69,0.34,COMPLETED,9.415277778,174.791,72
184,3633112,5,15,34,4981001,20,3.857142857,14,6,0.7,COMPLETED,4.094166667,66.47,60
185,3633295,7,12,54,5241617,16,4.75,12,4,0.75,COMPLETED,3.508611111,56.478,65
