,ride_id,driver_id,total_assigned
679,7926SK,4233683,1
680,78FH22,4233720,144
681,78IQJR,4236063,68
682,78FLL1,4236070,107
683,78R4GP,4242380,21
684,78ALB8,4243699,56
685,78O5F8,4243805,3
686,78ACIM,4244812,31
687,78PLCE,4244926,1
688,78PHFP,4251634,1
689,790ISF,4251660,2
690,78G1S1,4252461,30
691,78JELR,4252642,7
692,78O8Q6,4253265,166
693,794D2A,4253549,26
694,78DITA,4254553,299
695,796CFL,4254899,4
696,78T5OP,4255170,3
697,7977SM,4256504,42
698,78DNN3,4259559,319
699,78GQJO,4262549,2
700,78MPEG,4263025,115
701,797IQI,4263775,130
702,79343H,4264013,15
703,78OB02,4264488,43
704,78LNI7,4264497,32
705,795CNJ,4264734,154
706,78I7GM,4265386,1
707,78QM4H,4271604,9
708,78LLCI,4271799,21
709,78LMEF,4282958,115
710,78O368,4284999,163
711,793TFL,4286008,9
712,78C6N2,4291384,22
713,78C061,4291437,355
714,78AEA9,4293280,10
715,78QBQ6,4294961,2
716,795DIJ,4295655,169
717,79376T,4298705,57
718,78CLJ1,4299139,12
719,79A1DF,4300879,22
720,78B29N,4301381,164
721,794BAS,4303264,30
722,796MD7,4303297,89
723,793DFQ,4303398,10
724,78BS99,4303472,37
725,78PF3O,4303751,154
726,78OANM,4303765,45
727,78MI7H,4304577,52
728,78HDDD,4305170,86
729,78E309,4313254,30
730,78TS7O,4313290,4
731,78JJTE,4313771,26
732,78F8RR,4314261,164
733,79AIFP,4315314,14
734,78GKR1,4319875,33
735,791C6N,4320802,15
736,795A2A,4321540,8
737,78C443,4322991,131
738,78BR9P,4323329,85
739,78MH6I,4323594,28
740,78RNOD,4323923,26
741,796FEP,4325997,87
742,78M3CJ,4326246,104
743,78LMIR,4329196,1
744,78GCR0,4329296,38
745,78CKDM,4329565,245
746,78C61L,4330693,2
747,78KL5S,4330985,54
748,7986GJ,4331031,11
749,78LE54,4331277,31
750,78QDSH,4331866,1
751,78QISN,4331916,189
752,797FS3,4333565,71
753,78P69G,4335274,114
754,78P07N,4337628,61
755,78LE3S,4337743,19
756,78M198,4341426,98
757,792C3T,4346153,1
758,78BD9Q,4346771,82
759,78IRE0,4347031,380
760,78D0H5,4348063,54
761,78BF8A,4348071,45
762,78KK4P,4348516,75
763,78NN8I,4348842,33
764,78DJJ4,4349687,23
765,793TTC,4349923,141
766,78DK5H,4350011,11
767,78R6FR,4351430,41
768,78BP00,4352354,1
769,78H2JP,4352729,3
770,78RGQ3,4353988,167
771,78M7TD,4354743,52
772,78OSMH,4356265,12
773,797CA3,4357327,155
774,78KAN9,4357418,32
775,78J7BQ,4357652,23
776,78DQM0,4358221,24
777,78D31E,4358301,18
778,78Q918,4358388,3
779,78O8KB,4358498,56
780,78DJF9,4360090,200
781,79B9OQ,4360849,17
782,78F4A8,4361429,1
783,78IG2F,4364336,129
784,78T4J9,4364809,35
785,795G24,4364900,10
786,798N6R,4364901,101
787,78K4LM,4365833,17
788,78GDH5,4365947,13
789,78POQS,4366380,1
790,78LIJ2,4366452,17
791,792A45,4367296,1
792,78MRT5,4367430,83
793,78ECTH,4369380,10
794,78PRO0,4371402,7
795,78PR74,4372108,5
796,798JL8,4372392,93
797,78R9AS,4372708,26
798,78L5I8,4372753,51
799,78PMIM,4373384,6
800,78SKTT,4373417,33
801,78RDCK,4373795,72
802,78HDEL,4373822,1
803,78A4LN,4374072,50
804,78TNNT,4374425,7
805,796OA1,4374644,2
806,791ISR,4374684,12
807,78G1S1,4376421,203
808,79088B,4380414,71
809,78EIH5,4383608,5
810,78MQ7P,4384381,87
811,78BL58,4386339,31
812,78QKSQ,4386347,3
813,78TIQJ,4391484,2
814,78EPGE,4391733,50
815,798OQB,4391741,23
816,78MDKK,4392774,27
817,78AIDD,4393131,3
818,78KTSM,4393331,37
819,78J6MQ,4393709,2
820,7975BS,4397184,8
821,78F5HH,4397579,54
822,78HOGF,4398856,26
823,790RAR,4407129,11
824,7971MH,4407878,11
825,78BKMG,4408251,37
826,78BTIC,4408253,30
827,78RL23,4408305,58
828,78S06K,4408332,122
829,78QO9I,4409159,161
830,791G53,4409274,59
831,7903LJ,4409917,97
832,78OKG0,4412432,6
833,78NA0O,4412536,8
834,78GGA5,4413887,57
835,78DQD1,4414917,15
836,78CLBC,4414940,133
837,78Q6F9,4415389,2
838,79ACO8,4415447,18
839,78LNT0,4416219,42
840,78CMQJ,4416220,119
841,797FA2,4417366,9
842,78TNOE,4417511,30
843,794796,4417549,53
844,7914BC,4418277,4
845,78CSPN,4420518,43
846,78J6JG,4420690,18
847,78KTKL,4421190,12
848,78QLLR,4423322,16
849,79B9E6,4423445,94
850,78B7JN,4423909,3
851,7902C1,4423937,48
852,78CM1F,4424145,358
853,792JI0,4424694,71
854,792M22,4424724,38
855,78AL18,4424797,136
856,7977NL,4425101,2
857,78D7Q9,4425346,31
858,78ML7Q,4425941,65
859,78S5RM,4426020,1
860,78SH74,4428002,52
861,78R6FR,4428818,114
862,78QE4P,4430615,1
863,78E3RD,4431252,22
864,7.97E+81,4432882,11
865,79641F,4433297,4
866,78OS0B,4434650,120
867,78J64H,4435017,423
868,78GN75,4440532,8
869,78TOCR,4440652,6
870,78RLO3,4441147,18
871,798KO5,4441562,27
872,78R7DD,4441781,49
873,794O16,4442119,2
874,78J0M8,4443257,36
875,78PMTO,4444577,208
876,78HL2J,4445887,65
877,794E0J,4448069,31
878,78RJEK,4449056,24
879,78E9HA,4449538,75
880,78PRKM,4449884,4
881,78CCLI,4450505,108
882,78BIG7,4450526,41
883,78LNL1,4451700,2
884,78OKG0,4463498,42
885,78S9IC,4463621,10
886,78K1L4,4464332,196
887,78OGRT,4464438,54
888,799SKS,4464698,247
889,78D24G,4465138,284
890,7951NF,4465175,2
891,78FN1S,4465335,26
892,78BIRQ,4465421,57
893,78BGPB,4465526,67
894,794T3M,4465655,65
895,78HO98,4465664,32
896,78L88K,4466671,78
897,7963NP,4468136,7
898,796R4N,4468201,31
899,796AEO,4468616,98
900,78AP1P,4471223,92
901,78R985,4472345,22
902,78EQN6,4472358,170
903,78IG2F,4472618,288
904,78RKGA,4472631,49
905,78B5L3,4473097,4
906,79BBC0,4473248,16
907,78OMD0,4473842,82
908,78I8MF,4473888,1
909,7952PR,4477982,3
910,792RBK,4478130,64
911,78R7NM,4479192,2
912,78ST5B,4479381,44
913,78TI8F,4479481,17
914,78B2LS,4479930,1
915,78O6OA,4480466,43
916,7900HD,4480545,2
917,78KA1Q,4480847,8
918,78CAKL,4485666,15
919,796DLI,4485850,1
