,Unnamed: 0,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare,abandoned_trips,% completed_rides,canceled_rides,driver_id,total_monthly_trips
104,2759,3355609,5,1,15,19,5423840,9,42,5.0,8,0.19047619,1,2.213333333,47.997,123.75,33,88.8888888888889,1,3355609,52
105,1550,3358770,5,4,13,42,3168628,19,38,4.4,15,0.394736842,1,3.745833333,62.26,95.0,19,78.94736842105263,4,3358770,47
106,1138,3358941,1,5,12,27,4835435,52,55,4.5,28,0.509090909,1,8.485,134.244,103.6428571,3,53.846153846153854,24,3358941,128
107,698,3360438,7,6,16,3,4945116,34,59,4.090909091,27,0.457627119,1,7.4361111110000016,96.782,87.48148148,25,79.41176470588233,7,3360438,113
108,2758,3361417,4,1,18,22,4954383,1,19,4.307563701,1,0.052631579000000005,1,0.200277778,3.72,91.0,18,100.0,0,3361417,3
109,1954,3362531,3,3,18,54,5240517,10,19,4.0,8,0.421052632,1,1.626111111,33.235,92.875,9,80.0,2,3362531,69
110,1549,3367068,3,4,19,53,4540703,40,243,4.0,1,0.004115226,0,0.001111111,3.992,90.0,203,2.5,39,3367068,1
111,1137,3367258,4,5,8,43,4742129,9,56,4.5,5,0.089285714,1,1.303611111,27.118,118.8,47,55.555555555555564,4,3367258,13
112,1136,3369332,4,5,13,54,4933178,19,77,5.0,7,0.090909091,1,1.181666667,29.862,95.85714286,58,36.84210526315789,12,3369332,14
113,1135,3370384,4,5,18,14,4915854,23,43,4.625,15,0.348837209,1,1.126388889,14.869000000000002,52.4,20,65.21739130434783,8,3370384,75
114,1953,3379506,2,3,12,24,3591266,39,97,4.0,28,0.288659794,1,6.7361111110000005,123.586,96.57142857,58,71.7948717948718,11,3379506,165
115,1952,3393179,4,3,20,37,4931277,25,25,4.357142857,24,0.96,1,6.183333332999999,115.113,106.375,0,96.0,1,3393179,173
116,1134,3394918,4,5,11,2,4334655,63,173,4.533333333,27,0.15606936400000002,1,6.65,125.264,103.2222222,110,42.857142857142854,36,3394918,118
117,697,3399291,4,6,10,54,5330988,33,95,3.5,3,0.031578947,1,0.278888889,4.475,55.66666667,62,9.090909090909092,30,3399291,3
118,1951,3399348,2,3,21,14,4808711,13,69,4.307563701,1,0.014492753999999997,1,0.073888889,1.714,61.0,56,7.6923076923076925,12,3399348,100
119,1133,3399525,4,5,20,6,4876971,39,101,4.769230769,20,0.198019802,1,3.92,81.84100000000002,102.75,62,51.28205128205128,19,3399525,86
120,289,3401681,4,7,21,24,3271592,39,191,4.75,13,0.068062827,1,3.409722222,59.76300000000001,105.2307692,152,33.33333333333333,26,3401681,55
121,1548,3402457,6,4,12,13,5271745,19,55,5.0,7,0.127272727,1,2.76,39.337,119.5714286,36,36.84210526315789,12,3402457,21
122,696,3419580,7,6,18,15,4791762,43,240,3.833333333,14,0.058333333,1,3.798611111,53.322,93.28571429,197,32.55813953488372,29,3419580,146
123,1132,3421197,3,5,8,50,4152809,40,55,3.947368421,30,0.545454545,1,8.312777778,162.447,115.1333333,15,75.0,10,3421197,59
124,2368,3421486,1,2,10,19,3252228,12,80,4.333333333,3,0.0375,1,0.841944444,16.224,126.0,68,25.0,9,3421486,35
125,1131,3422168,1,5,10,37,5393916,29,117,4.0,16,0.136752137,1,5.060277778000001,126.816,154.4375,88,55.17241379310346,13,3422168,125
126,1130,3424125,3,5,6,15,5037435,18,55,4.375,13,0.236363636,1,3.057222222,61.477,104.9230769,37,72.2222222222222,5,3424125,40
127,1547,3433573,3,4,10,48,3039756,27,69,4.333333333,20,0.289855072,1,5.6225,87.697,99.0,42,74.07407407407408,7,3433573,122
128,2367,3434085,1,2,12,40,4400689,2,17,4.307563701,1,0.05882352900000001,1,0.6769444440000001,10.537,188.0,15,50.0,1,3434085,2
129,1950,3434940,2,3,14,53,4328943,41,80,4.0,19,0.2375,1,3.546111111,66.22,89.36842105,39,46.34146341463415,22,3434940,76
130,288,3435189,4,7,21,34,5154501,60,227,4.4375,33,0.14537444900000002,1,9.191111111,195.807,129.8181818,167,55.00000000000001,27,3435189,146
131,1949,3437386,5,3,12,13,3511973,4,30,4.307563701,2,0.066666667,1,0.6625,5.4,73.0,26,50.0,2,3437386,4
132,2757,3439779,1,1,12,15,4980484,2,40,5.0,2,0.05,1,0.748055556,13.050999999999998,128.0,38,100.0,0,3439779,2
133,1546,3439844,3,4,16,29,5369166,8,55,4.0,1,0.018181818,0,0.189722222,3.287,79.0,47,12.5,7,3439844,1
134,695,3442931,4,6,21,53,4721722,86,146,4.5,38,0.260273973,1,12.17972222,212.371,123.0263158,60,44.1860465116279,48,3442931,175
135,1948,3446102,4,3,17,22,5384864,11,48,3.8,10,0.208333333,1,0.383888889,15.341,64.6,37,90.9090909090909,1,3446102,24
136,1947,3448655,3,3,14,36,5355421,19,53,4.8,10,0.188679245,1,4.647222222,71.092,135.9,34,52.631578947368425,9,3448655,40
137,694,3452591,2,6,19,20,4946356,37,66,4.263157895,28,0.424242424,1,7.106944444,138.102,106.8928571,29,75.67567567567569,9,3452591,97
138,693,3459818,2,6,10,51,4412719,70,108,3.789473684,38,0.351851852,1,9.311388889,159.06,97.39473684,38,54.28571428571429,32,3459818,223
139,2366,3466729,6,2,11,6,3703276,4,48,5.0,2,0.041666667,0,0.35666666700000005,3.324,72.5,44,50.0,2,3466729,2
140,1545,3474657,7,4,14,41,5060128,16,71,4.307563701,6,0.08450704199999999,1,0.119166667,9.925,62.66666667,55,37.5,10,3474657,14
141,1544,3475104,1,4,13,9,5354086,21,38,4.75,19,0.5,1,6.340833333,99.707,109.05263159999998,17,90.4761904761905,2,3475104,78
142,2756,3475591,2,1,17,21,4443748,12,24,4.5,7,0.291666667,1,1.9025,29.657,97.14285714,12,58.33333333333334,5,3475591,14
143,2755,3475644,3,1,21,2,5158384,5,11,4.307563701,2,0.181818182,1,0.340833333,6.348,87.0,6,40.0,3,3475644,4
144,692,3475712,6,6,8,39,5290325,78,301,4.161290323,48,0.15946843900000002,1,11.60333333,223.252,104.1875,223,61.53846153846154,30,3475712,200
145,2365,3475860,3,2,15,3,5052229,5,44,4.0,3,0.06818181799999999,1,0.991944444,22.369,145.66666669999995,39,60.0,2,3475860,39
146,2754,3475872,3,1,18,5,4043261,5,23,5.0,4,0.17391304300000002,1,0.478055556,8.474,61.75,18,80.0,1,3475872,20
147,691,3481158,3,6,13,23,4319383,85,149,4.0740740739999985,72,0.483221477,1,21.63444444,356.723,106.7638889,64,84.70588235294117,13,3481158,114
148,2364,3500029,2,2,16,50,4945721,3,14,5.0,2,0.14285714300000002,1,0.579722222,8.779,101.5,11,66.66666666666666,1,3500029,2
149,287,3500720,3,7,12,35,4823286,59,117,3.846153846,42,0.358974359,1,11.96055556,202.833,106.7380952,58,71.18644067796609,17,3500720,154
150,1946,3501304,4,3,15,6,4874274,25,34,4.461538462,21,0.6176470589999999,1,5.898333332999999,103.456,109.3809524,9,84.0,4,3501304,114
151,1945,3520711,5,3,22,30,4714537,7,61,4.307563701,1,0.016393443,1,0.1675,5.155,116.0,54,14.285714285714285,6,3520711,8
152,1543,3521193,5,4,17,45,5388840,13,45,2.8,8,0.177777778,1,4.2080555560000015,73.69800000000002,173.0,32,61.53846153846154,5,3521193,97
153,690,3527160,4,6,17,30,3091801,71,144,4.333333333,54,0.375,1,6.39,118.212,66.74074074,73,76.05633802816901,17,3527160,229
154,689,3550359,2,6,10,21,5158077,70,155,4.413793103,53,0.341935484,1,10.36777778,216.146,97.0754717,85,75.71428571428571,17,3550359,246
155,2363,3564741,7,2,22,53,5255314,2,25,5.0,1,0.04,1,0.0975,2.021,69.0,23,50.0,1,3564741,14
156,1129,3589235,2,5,15,22,5360631,20,82,3.8,15,0.182926829,1,4.326388889,85.96700000000001,117.6666667,62,75.0,5,3589235,78
157,1128,3593600,4,5,17,31,4273796,54,99,3.85,36,0.363636364,1,7.951388888999999,146.835,95.25,45,66.66666666666666,18,3593600,140
158,1944,3598539,5,3,15,0,5109957,31,35,4.538461538,25,0.7142857140000001,1,6.586388889,130.268,113.2,4,80.64516129032258,6,3598539,162
159,1127,3609933,2,5,19,23,4811835,11,162,4.4,8,0.049382715999999986,1,1.934166667,39.473,106.375,151,72.72727272727273,3,3609933,26
160,1126,3612345,6,5,13,0,3681359,35,102,4.384615385,19,0.18627451,1,7.733888889,125.732,135.5789474,67,54.28571428571429,16,3612345,90
161,1125,3613245,7,5,8,20,5222178,27,138,4.6363636360000005,18,0.130434783,1,5.415833332999999,111.108,124.3888889,111,66.66666666666666,9,3613245,36
162,1124,3620117,5,5,13,22,4034102,13,34,5.0,2,0.05882352900000001,1,0.611111111,9.818,104.0,21,15.384615384615385,11,3620117,14
163,1943,3620819,3,3,11,10,4914427,32,67,4.5,23,0.34328358200000003,1,7.239722222,100.05,96.56521739,35,71.875,9,3620819,46
164,1123,3623101,4,5,10,47,5405012,36,46,4.5,26,0.565217391,1,7.8125,129.274,105.6538462,10,72.2222222222222,10,3623101,59
165,2753,3626282,7,1,17,39,5432084,6,34,4.0,6,0.176470588,1,1.313611111,26.207,97.83333333,28,100.0,0,3626282,23
166,286,3626950,4,7,10,33,5207970,104,201,4.6111111110000005,35,0.174129353,1,9.415277778,174.791,108.0571429,97,33.653846153846146,69,3626950,111
167,1122,3633112,5,5,15,34,4981001,20,29,3.857142857,14,0.482758621,1,4.094166667,66.47,108.0714286,9,70.0,6,3633112,103
168,1942,3633295,7,3,12,54,5241617,16,21,4.75,12,0.571428571,1,3.5086111110000004,56.478,102.3333333,5,75.0,4,3633295,36
169,688,3634447,5,6,21,36,5428208,69,104,4.655172414,47,0.451923077,1,10.74777778,221.107,109.8510638,35,68.11594202898551,22,3634447,93
170,2362,3635024,2,2,9,21,3984869,13,28,4.0,11,0.392857143,1,2.8002777780000003,49.349,99.54545455,15,84.61538461538461,2,3635024,90
171,1542,3635071,5,4,18,1,4804323,20,44,4.875,18,0.409090909,1,5.3769444439999985,93.455,113.0,24,90.0,2,3635071,113
172,1941,3636342,3,3,14,0,4045382,43,80,4.166666667,24,0.3,1,8.258333333,122.088,109.2916667,37,55.8139534883721,19,3636342,200
173,687,3637101,1,6,10,32,4215439,24,77,4.0,10,0.12987013,1,1.474444444,32.076,80.9,53,41.66666666666667,14,3637101,66
174,1121,3637339,4,5,9,56,4371221,62,99,4.48,43,0.434343434,1,9.032222222,210.492,107.6046512,37,69.35483870967742,19,3637339,153
175,2361,3638440,2,2,11,27,5206317,9,28,4.0,4,0.14285714300000002,1,0.7352777779999999,12.657,90.25,19,44.444444444444436,5,3638440,20
176,686,3638664,3,6,21,1,4720448,48,175,4.444444444,36,0.205714286,1,11.36583333,214.217,126.2777778,127,75.0,12,3638664,136
177,685,3645038,1,6,19,1,4456862,12,135,5.0,4,0.02962963,1,0.989444444,15.511,89.75,123,33.33333333333333,8,3645038,20
178,1940,3646787,5,3,15,22,3993614,13,76,4.5,10,0.131578947,1,3.4305555560000003,59.587,128.6,63,76.92307692307693,3,3646787,11
179,684,3646812,7,6,14,54,4513832,54,234,4.692307692,37,0.158119658,1,7.420555556,138.976,88.91891892,180,68.51851851851852,17,3646812,163
180,2360,3648810,2,2,19,3,5326211,10,52,4.5,5,0.096153846,1,1.290555556,26.508000000000006,109.4,42,50.0,5,3648810,52
181,1541,3668460,1,4,21,27,5395780,15,53,4.75,10,0.188679245,1,2.400555556,50.232,108.0,38,66.66666666666666,5,3668460,76
182,2359,3670054,2,2,20,7,3523686,2,41,3.0,1,0.024390244,1,0.23,3.988,101.0,39,50.0,1,3670054,8
183,1939,3670561,2,3,18,20,4862931,15,65,4.666666667,9,0.138461538,1,2.746388889,36.562,91.22222222,50,60.0,6,3670561,85
